headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";price;stock
EML06-03G-A;"Цанговый штуцер 6 мм";G3/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;262.14;"123 шт"
EML04-01G-A;"Цанговый штуцер 4 мм";G1/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;236.25;"160 шт"
EMG10-08-A;"Цанговый штуцер 10 мм";"Цанговый штуцер 8 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;306.80;"10 шт"
EMLL08-02G-A;"Цанговый штуцер 8 мм";G1/4;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;494.50;"0 шт"
EMMF08-02G-A;"Цанговый штуцер 8 мм";"G1/4 внутренняя";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;350.16;"258 шт"
EMMF06-02G-A;"Цанговый штуцер 6 мм";"G1/4 внутренняя";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;288.68;"108 шт"
EMMF04-01G-A;"Цанговый штуцер 4 мм";"G1/8 внутренняя";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;212.95;"368 шт"
EMC14-03G-A;"Цанговый штуцер 14 мм";G3/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;510.68;"78 шт"
EMOC10-02G-A;"Цанговый штуцер 10 мм";G1/4;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;297.09;"219 шт"
EMOC08-02G-A;"Цанговый штуцер 8 мм";G1/4;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;183.82;"31 шт"
EMOC08-01G-A;"Цанговый штуцер 8 мм";G1/8;0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;183.82;"210 шт"
