headers;"Код заказа";Присоединение;Конструкция;Функция;"Условный проход, мм";"Размер привода, мм";"Расход Kv, м3/час";"Присоединение канала управления";"Рабочая среда";"Температура рабочей среды, °С";"Рабочее давление, МПа";"Максимальная вязкость среды, сСт";"Управляющая среда";"Температура окружающей среды, °С";"Управляющее давление, МПа";"Материал корпуса клапана";"Материал уплотнения клапана";"Материал привода";"Уплотнения привода";price;stock
EMCP-15-50HS2;G1/2;"Седельный клапан";"Нормально открытый";15;50;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 304";PTFE;Полимер;NBR;8700.40;"0 шт"
EMCP-15-50HS1;G1/2;"Седельный клапан";"Нормально открытый";15;50;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 316";PTFE;Полимер;NBR;9227.27;"0 шт"
EMCP-15-50DS2;G1/2;"Седельный клапан";"Двустороннего действия";15;50;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 304";PTFE;Полимер;NBR;8700.40;"0 шт"
EMCP-15-50DS1;G1/2;"Седельный клапан";"Двустороннего действия";15;50;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 316";PTFE;Полимер;NBR;9227.27;"0 шт"
EMCJ-15-50S2;G1/2;"Седельный клапан";"Нормально закрытый";15;50;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1.6;600;"Сжатый воздух";"-10 … +60";"0.3… 1.0";"Нержавеющая сталь 304";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";10136.01;"0 шт"
EMCJ-15-50DS2;G1/2;"Седельный клапан";"Двустороннего действия";15;50;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1.6;600;"Сжатый воздух";"-10 … +60";"0.3… 1.0";"Нержавеющая сталь 304";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";20932.23;"0 шт"
EMCJ-15-50DS1;G1/2;"Седельный клапан";"Двустороннего действия";15;50;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1.6;600;"Сжатый воздух";"-10 … +60";"0.3… 1.0";"Нержавеющая сталь 316";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";20932.23;"0 шт"
EMCJ-15-50DCS2;G1/2;"Седельный клапан";"Двустороннего действия нормально закрытый";15;50;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1.6;600;"Сжатый воздух";"-10 … +60";"0.3… 1.0";"Нержавеющая сталь 304";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";16744.49;"0 шт"
EMCJ-15-50DCS1;G1/2;"Седельный клапан";"Двустороннего действия нормально закрытый";15;50;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1.6;600;"Сжатый воздух";"-10 … +60";"0.3… 1.0";"Нержавеющая сталь 316";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";16744.49;"0 шт"
EMCJ-15-40S2;G1/2;"Седельный клапан";"Нормально закрытый";15;40;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1.6;600;"Сжатый воздух";"-10 … +60";"0.3… 1.0";"Нержавеющая сталь 304";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";10136.01;"0 шт"
EMCJ-15-40S1;G1/2;"Седельный клапан";"Нормально закрытый";15;40;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1.6;600;"Сжатый воздух";"-10 … +60";"0.3… 1.0";"Нержавеющая сталь 316";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";10677.12;"0 шт"
EMCJ-15-40DS2;G1/2;"Седельный клапан";"Двустороннего действия";15;40;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1.6;600;"Сжатый воздух";"-10 … +60";"0.3… 1.0";"Нержавеющая сталь 304";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";19255.84;"0 шт"
EMCJ-15-40DS1;G1/2;"Седельный клапан";"Двустороннего действия";15;40;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1.6;600;"Сжатый воздух";"-10 … +60";"0.3… 1.0";"Нержавеющая сталь 316";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";19255.84;"0 шт"
EMCJ-15-40DCS2;G1/2;"Седельный клапан";"Двустороннего действия нормально закрытый";15;40;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1.6;600;"Сжатый воздух";"-10 … +60";"0.3… 1.0";"Нержавеющая сталь 304";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";16394.97;"0 шт"
EMCJ-15-40DCS1;G1/2;"Седельный клапан";"Двустороннего действия нормально закрытый";15;40;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1.6;600;"Сжатый воздух";"-10 … +60";"0.3… 1.0";"Нержавеющая сталь 316";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";16394.97;"0 шт"
EMCP-20-50S2;G3/4;"Седельный клапан";"Нормально закрытый";20;50;9.5;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 304";PTFE;Полимер;NBR;6749.58;"0 шт"
EMCP-20-50HS2;G3/4;"Седельный клапан";"Нормально открытый";20;50;9.5;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 304";PTFE;Полимер;NBR;9490.05;"0 шт"
