headers;"Код заказа";"Соответствует стандарту";Функция;"Диаметр поршня, мм";"Рабочий ход, мм";"Опрос положения";"Исполнение штока";"Резьба на штоке";Демпфирование;"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал крышек";"Материал корпуса";"Материал штока";"Материал уплотнений";price;stock
IA8x10-S;"ISO 6432";"Двустороннего действия";8;10;Да;"Наружная резьба";М4;"Упругие демпфирующие кольца";М5х0,8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";30-Jan;22.6;Алюминий;"Нержавеющая сталь";"Нержавеющая сталь SS304";NBR;1345;"61 шт"
IA25x15-S;"ISO 6432";"Двустороннего действия";25;15;Да;"Наружная резьба";М10х1,25;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";294;247;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2019.44;"11 шт"
IAC20x20-S;"ISO 6432";"Двустороннего действия";20;20;Да;"Наружная резьба";М8;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";188;158;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2543.71;"6 шт"
IAC20x30-S;"ISO 6432";"Двустороннего действия";20;30;Да;"Наружная резьба";М8;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";188;158;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2687.40;"11 шт"
IA16x20-S;"ISO 6432";"Двустороннего действия";16;20;Да;"Наружная резьба";М6;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 0,8";"-20 … +80";121;104;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;1790.31;"17 шт"
IAC16x15-S;"ISO 6432";"Двустороннего действия";16;15;Да;"Наружная резьба";М6;"Регулируемое пневматическое";М5х0,8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";121;104;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2414.26;"5 шт"
IAC20x160-S;"ISO 6432";"Двустороннего действия";20;160;Да;"Наружная резьба";М8;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";188;158;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;3401.97;"69 шт"
IA12x40-S;"ISO 6432";"Двустороннего действия";12;40;Да;"Наружная резьба";М6;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 0,8";"-20 … +80";67.8;50.9;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;1943.06;"39 шт"
IA12x80-S;"ISO 6432";"Двустороннего действия";12;80;Да;"Наружная резьба";М6;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 0,8";"-20 … +80";67.8;50.9;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2154.06;"4 шт"
IAC16x30-S;"ISO 6432";"Двустороннего действия";16;30;Да;"Наружная резьба";М6;"Регулируемое пневматическое";М5х0,8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";121;104;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2526.88;"21 шт"
IAC25x20-S;"ISO 6432";"Двустороннего действия";25;20;Да;"Наружная резьба";М10х1,25;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";294;247;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2767.66;"6 шт"
IAC25x60-S;"ISO 6432";"Двустороннего действия";25;60;Да;"Наружная резьба";М10х1,25;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";294;247;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;3078.34;"69 шт"
IA20x80-S;"ISO 6432";"Двустороннего действия";20;80;Да;"Наружная резьба";М8;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";188;158;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2306.82;"23 шт"
IA25x10-S;"ISO 6432";"Двустороннего действия";25;10;Да;"Наружная резьба";М10х1,25;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";294;247;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2019.44;"29 шт"
IAC20x40-S;"ISO 6432";"Двустороннего действия";20;40;Да;"Наружная резьба";М8;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";188;158;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2687.40;"54 шт"
IA20x40-S;"ISO 6432";"Двустороннего действия";20;40;Да;"Наружная резьба";М8;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";188;158;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2020.73;"39 шт"
IA20x10-S;"ISO 6432";"Двустороннего действия";20;10;Да;"Наружная резьба";М8;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";188;158;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;1877.04;"18 шт"
IA16x80-S;"ISO 6432";"Двустороннего действия";16;80;Да;"Наружная резьба";М6;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 0,8";"-20 … +80";121;104;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2124.29;"14 шт"
IA25x20-S;"ISO 6432";"Двустороннего действия";25;20;Да;"Наружная резьба";М10х1,25;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";294;247;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2019.44;"13 шт"
IA20x50-S;"ISO 6432";"Двустороннего действия";20;50;Да;"Наружная резьба";М8;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";188;158;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2020.73;"30 шт"
IA20x25-S;"ISO 6432";"Двустороннего действия";20;25;Да;"Наружная резьба";М8;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";188;158;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;1877.04;"0 шт"
IA16x150-S;"ISO 6432";"Двустороннего действия";16;150;Да;"Наружная резьба";М6;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 0,8";"-20 … +80";121;104;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2348.24;"5 шт"
IA12x100-S;"ISO 6432";"Двустороннего действия";12;100;Да;"Наружная резьба";М6;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 0,8";"-20 … +80";67.8;50.9;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2154.06;"18 шт"
IA12x50-S;"ISO 6432";"Двустороннего действия";12;50;Да;"Наружная резьба";М6;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 0,8";"-20 … +80";67.8;50.9;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;1943.06;"50 шт"
IA10x25-S;"ISO 6432";"Двустороннего действия";10;25;Да;"Наружная резьба";М4;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 0,8";"-20 … +80";47.1;39.5;Алюминий;"Нержавеющая сталь";"Нержавеющая сталь SS304";NBR;1367;"54 шт"
IA8x25-S;"ISO 6432";"Двустороннего действия";8;25;Да;"Наружная резьба";М4;"Упругие демпфирующие кольца";М5х0,8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";30-Jan;22.6;Алюминий;"Нержавеющая сталь";"Нержавеющая сталь SS304";NBR;1345;"27 шт"
