headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Положение монтажа";"Материал корпуса";"Материал стакана";price;stock
LFUB220-02;2;G1/4;"Отверстие с внутренней резьбой";"Сжатый воздух";+5…+60;0…1.6;1;"Вертикально +/- 5°";"С монтажной скобой";Полипропилен;4686.13;"0 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Объём стакана фильтра, мл";"Монтажная скоба";"Материал корпуса";"Материал стакана";price;stock
FEF-06MAXIA;MAXI;G3/4;Автоматический;"Сжатый воздух";-5…+60;0.1…1.6;40;"Вертикально +/- 5°";80;"С монтажной скобой";Алюминий;Поликарбонат;9326.94;"0 шт"
FEF-02MINIA;MINI;G1/4;Автоматический;"Сжатый воздух";-5…+60;0.1…1.6;40;"Вертикально +/- 5°";22;"С монтажной скобой";Алюминий;Поликарбонат;4805.22;"0 шт"
EAFM2000-02;2000;G1/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.3;"Вертикально +/- 5°";11;"С монтажной скобой";Алюминий;Поликарбонат;4383.21;"0 шт"
EAF3000-025M;3000;G1/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;5;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;1811.02;"0 шт"
FEF-105MMAXIA;MAXI;G1;Автоматический;"Сжатый воздух";-5…+60;0.1…1.6;5;"Вертикально +/- 5°";80;"С монтажной скобой";Алюминий;Поликарбонат;9326.94;"0 шт"
EAFD3000-04J;3000;G1/2;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.01;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;5065.42;"0 шт"
EAFM3000-04J;3000;G1/2;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.3;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;5065.42;"0 шт"
EAF4000-06D5M;4000;G3/4;Автоматический;"Сжатый воздух";-5…+60;0.15…1;5;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;3787.74;"0 шт"
EAFM4000-06;4000;G3/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.3;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;7598.77;"0 шт"
EAF2000-02J;2000;G1/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";11;"Без монтажной скобы";Алюминий;Поликарбонат;1390.30;"0 шт"
EAFD4000-04J;4000;G1/2;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.01;"Вертикально +/- 5°";75;"Без монтажной скобы";Алюминий;Поликарбонат;7488.74;"0 шт"
EAFM4000-04J;4000;G1/2;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.3;"Вертикально +/- 5°";75;"Без монтажной скобы";Алюминий;Поликарбонат;7488.74;"0 шт"
EAF4000-04J5M;4000;G1/2;Ручной;"Сжатый воздух";-5…+60;0.15…1;5;"Вертикально +/- 5°";75;"Без монтажной скобы";Алюминий;Поликарбонат;2972.19;"0 шт"
EAF3000-03DJ5M;3000;G3/8;Автоматический;"Сжатый воздух";-5…+60;0.15…1;5;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;2831.09;"0 шт"
EAF3000-04DJ;3000;G1/2;Автоматический;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;2831.09;"0 шт"
FEF-035MMIDI;MIDI;G3/8;Ручной;"Сжатый воздух";-5…+60;0.1…1.6;5;"Вертикально +/- 5°";43;"С монтажной скобой";Алюминий;Поликарбонат;4055.70;"0 шт"
EAFD4000-06;4000;G3/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.01;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;7598.77;"0 шт"
EAFD4000-06J;4000;G3/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.01;"Вертикально +/- 5°";75;"Без монтажной скобы";Алюминий;Поликарбонат;7488.74;"0 шт"
EAFM4000-06J;4000;G3/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.3;"Вертикально +/- 5°";75;"Без монтажной скобы";Алюминий;Поликарбонат;7488.74;"0 шт"
